14:41:29.154	SERVER	admin	OK	Server was started (port: 1984).
14:41:40.406	127.0.0.1:63542	admin	OK	QUERY[0] import module namespace funcs="com.funcs.music" at "music.xqm"; funcs:giveSomeInfo()	5.09 ms
14:41:40.958	127.0.0.1:63542	admin	REQUEST	EXEC[0]	551.03 ms
14:41:40.958	127.0.0.1:63542	admin	ERROR	Stopped at ., 3/35: [XPST0017] funcs:giveSomeInfo: 0 arguments supplied, 1 expected.	0.15 ms
14:41:40.972	127.0.0.1:63542	admin	REQUEST	EXIT	13.28 ms
14:41:40.973	127.0.0.1:63542	admin	OK		0.86 ms
14:43:27.168	127.0.0.1:63572	admin	OK	QUERY[0] import module namespace funcs="com.funcs.music" at "music.xqm"; funcs:giveSomeInfo(a-ha)	0.27 ms
14:43:27.192	127.0.0.1:63572	admin	REQUEST	EXEC[0]	23.79 ms
14:43:27.193	127.0.0.1:63572	admin	ERROR	Stopped at ., 3/40: [XPDY0002] a-ha: Context is undeclared.	0.17 ms
14:43:27.193	127.0.0.1:63572	admin	REQUEST	EXIT	0.37 ms
14:43:27.194	127.0.0.1:63572	admin	OK		0.16 ms
14:44:30.645	127.0.0.1:63582	admin	OK	QUERY[0] import module namespace funcs="com.funcs.music" at "music.xqm"; funcs:giveSomeInfo(BTS)	0.29 ms
14:44:30.649	127.0.0.1:63582	admin	REQUEST	EXEC[0]	3.53 ms
14:44:30.649	127.0.0.1:63582	admin	ERROR	Stopped at ., 3/39: [XPDY0002] BTS: Context is undeclared.	0.16 ms
14:44:30.650	127.0.0.1:63582	admin	REQUEST	EXIT	0.4 ms
14:44:30.650	127.0.0.1:63582	admin	OK		0.23 ms
14:44:51.013	127.0.0.1:63584	admin	OK	QUERY[0] import module namespace funcs="com.funcs.music" at "music.xqm"; funcs:giveSomeInfo(BTS)	0.21 ms
14:44:51.017	127.0.0.1:63584	admin	REQUEST	EXEC[0]	2.9 ms
14:44:51.017	127.0.0.1:63584	admin	ERROR	Stopped at ., 3/39: [XPDY0002] BTS: Context is undeclared.	0.16 ms
14:44:51.017	127.0.0.1:63584	admin	REQUEST	EXIT	0.39 ms
14:44:51.018	127.0.0.1:63584	admin	OK		0.19 ms
14:45:13.503	127.0.0.1:63590	admin	OK	QUERY[0] import module namespace funcs="com.funcs.music" at "music.xqm"; funcs:giveSomeInfo()	0.26 ms
14:45:13.506	127.0.0.1:63590	admin	REQUEST	EXEC[0]	2.66 ms
14:45:13.506	127.0.0.1:63590	admin	ERROR	Stopped at ., 3/35: [XPST0017] funcs:giveSomeInfo: 0 arguments supplied, 1 expected.	0.22 ms
14:45:13.507	127.0.0.1:63590	admin	REQUEST	EXIT	0.58 ms
14:45:13.508	127.0.0.1:63590	admin	OK		0.31 ms
14:45:28.031	127.0.0.1:63593	admin	OK	QUERY[0] import module namespace funcs="com.funcs.music" at "music.xqm"; funcs:giveSomeInfo(BTS)	0.19 ms
14:45:28.034	127.0.0.1:63593	admin	REQUEST	EXEC[0]	3.13 ms
14:45:28.034	127.0.0.1:63593	admin	ERROR	Stopped at ., 3/39: [XPDY0002] BTS: Context is undeclared.	0.15 ms
14:45:28.035	127.0.0.1:63593	admin	REQUEST	EXIT	0.4 ms
14:45:28.035	127.0.0.1:63593	admin	OK		0.18 ms
14:45:45.920	127.0.0.1:63598	admin	OK	QUERY[0] import module namespace funcs="com.funcs.music" at "music.xqm"; funcs:giveSomeInfo("BTS")	0.16 ms
14:45:45.933	127.0.0.1:63598	admin	REQUEST	EXEC[0]	13.29 ms
14:45:45.934	127.0.0.1:63598	admin	ERROR	Stopped at /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/app/basex/bin/music.xqm, 5/61: [XPTY0004] Number expected, xs:string found: "BTS".	0.27 ms
14:45:45.934	127.0.0.1:63598	admin	REQUEST	EXIT	0.39 ms
14:45:45.935	127.0.0.1:63598	admin	OK		0.18 ms
14:47:17.433	127.0.0.1:63612	admin	OK	QUERY[0] import module namespace funcs="com.funcs.music" at "music.xqm"; funcs:giveSomeInfo("BTS")	0.13 ms
14:47:17.438	127.0.0.1:63612	admin	REQUEST	EXEC[0]	3.91 ms
14:47:17.438	127.0.0.1:63612	admin	ERROR	Stopped at /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/app/basex/bin/music.xqm, 5/21: [FODC0002] Resource '/Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/app/basex/bin/music/xml_artists_info/artist_info_BTS.xml' does not exist.	0.12 ms
14:47:17.438	127.0.0.1:63612	admin	REQUEST	EXIT	0.35 ms
14:47:17.439	127.0.0.1:63612	admin	OK		0.17 ms
14:49:38.982	127.0.0.1:63642	admin	OK	QUERY[0] import module namespace funcs="com.funcs.music" at "music.xqm"; funcs:giveSomeInfo("BTS")	0.16 ms
14:49:38.985	127.0.0.1:63642	admin	REQUEST	EXEC[0]	2.73 ms
14:49:38.985	127.0.0.1:63642	admin	ERROR	Stopped at /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/app/basex/bin/music.xqm, 5/21: [FODC0002] Resource '/Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/app/basex/data/musicastop_db/xml_artists_info/artist_info_BTS.xml' does not exist.	0.13 ms
14:49:38.986	127.0.0.1:63642	admin	REQUEST	EXIT	0.42 ms
14:49:38.986	127.0.0.1:63642	admin	OK		0.17 ms
14:50:50.517	127.0.0.1:63652	admin	OK	QUERY[0] import module namespace funcs="com.funcs.music" at "music.xqm"; funcs:giveSomeInfo("BTS")	0.16 ms
14:50:50.520	127.0.0.1:63652	admin	REQUEST	EXEC[0]	2.61 ms
14:50:50.520	127.0.0.1:63652	admin	ERROR	Stopped at /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/app/basex/bin/music.xqm, 5/21: [FODC0002] Resource '/Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/app/basex/src/musicastop_db/xml_artists_info/artist_info_BTS.xml' does not exist.	0.13 ms
14:50:50.521	127.0.0.1:63652	admin	REQUEST	EXIT	0.45 ms
14:50:50.521	127.0.0.1:63652	admin	OK		0.16 ms
14:51:48.014	127.0.0.1:63659	admin	OK	QUERY[0] import module namespace funcs="com.funcs.music" at "music.xqm"; funcs:giveSomeInfo("BTS")	0.14 ms
14:51:48.017	127.0.0.1:63659	admin	REQUEST	EXEC[0]	2.54 ms
